file,sheet,column,method,total,converted,failed
天诚23年开票明细全量发票查询导出结果 (46).xlsx,发票基础信息,价税合计,numeric_parse,5,4,1
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,开票日期,pd.to_datetime,49,49,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,金额,numeric_parse,49,49,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,税额,numeric_parse,49,49,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,单价,numeric_parse,49,7,42
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,数量,numeric_parse,49,7,42
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,价税合计,numeric_parse,49,49,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,税率_数值,map_tax_text_to_zero,49,49,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,税率_数值,tax_parse,49,0,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,信息汇总表,税率,tax_text_tokens,49,49,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,发票基础信息,开票日期,pd.to_datetime,50,49,1
天诚22年开票明细全量发票查询导出结果 (45).xlsx,发票基础信息,金额,numeric_parse,50,50,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,发票基础信息,税额,numeric_parse,50,50,0
天诚22年开票明细全量发票查询导出结果 (45).xlsx,发票基础信息,价税合计,numeric_parse,50,49,1
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,开票日期,pd.to_datetime,139,139,0
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,金额,numeric_parse,139,138,1
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,税额,numeric_parse,139,138,1
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,单价,numeric_parse,139,30,109
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,数量,numeric_parse,139,30,109
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,价税合计,numeric_parse,139,139,0
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,税率_数值,map_tax_text_to_zero,139,138,0
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,税率_数值,tax_parse,139,0,0
天诚21年开票明细全量发票查询导出结果 (44).xlsx,信息汇总表,税率,tax_text_tokens,139,138,1
天诚21年开票明细全量发票查询导出结果 (44).xlsx,发票基础信息,开票日期,pd.to_datetime,140,139,1
天诚21年开票明细全量发票查询导出结果 (44).xlsx,发票基础信息,金额,numeric_parse,140,140,0
天诚21年开票明细全量发票查询导出结果 (44).xlsx,发票基础信息,税额,numeric_parse,140,140,0
天诚21年开票明细全量发票查询导出结果 (44).xlsx,发票基础信息,价税合计,numeric_parse,140,139,1
天诚25年开票明细全量发票查询导出结果 (48).xlsx,信息汇总表,开票日期,pd.to_datetime,227,227,0
